Whole Person Physiome Table for Pulmonary System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author Name(s):,Minyan Zhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Author ORCID(s):,0000-0002-1868-3896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer Name(s):,Maria Basil,Katalin Susztak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reviewer ORCID(s):,0000-0003-4716-1285,0000‑0002‑1005‑3726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General Publication(s):,"West’s Respiratory Physiology (11e, 2021)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data DOI:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date:,10/28/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Version Number:,v1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List physiological functions as a hierarchy, starting with the body system in Function/1 (this should be the same as the table name), a major life function in Function/2, and more specific functions in subsequent columns. Add more columns if needed. Place limited explanatory text if needed in Function/Notes. Each function should include a ID from Gene Ontology (GO) if possible or another standard ontology. The LABEL column is the label for that ID as it appears in that ontology.",,,,,,,,,,,,,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.) in the Process column. Enter whether the Effector is a cell, tissue, or organ. Provide the anatomical location of the Effector in EffectorLocation along with the associated UBERON ID, if avaialble. Enter the Effector and its UBERON ID in the following columns. See Glossary for detailed instructions on tabulating the Signal, Effect, Behavior, Behavior X, Behavior Y, and X Target columns.",,,,,,,,,,,,,,"Provide a very brief description (a few words) of the specific processes that occur during the corresponding function (e.g., a chemical reaction, physical change, feedback loop, etc.).",,,"Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the signal scale category for this process: autocrine, paracrine, intra-organ, circulatory, systemic","Indicate the time scale category for this process: milliseconds, seconds, minutes, hours, days, weeks, years.","OPTIONAL FOR NOW. List clinical measures, such as laboratory tests, vital signs, or radiology studies, related to the physiological function. These columns are simple lists and are NOT hierarchical. Include an ID for the measurement, such as a LOINC code, if known. Add more columns if needed.",,,,,,,,,,,,"OPTIONAL FOR NOW. List other interacting physiological functions. These columns are simple lists and NOT hierarchical. Add more columns if needed. For the LABEL and ID columns, use Gene Ontology (GO) if possible.",,,,,,,,,,,,"REQUIRED. Enter references in support of the information on this row. The ID column should include a standard identifier, such as a DOI or ISBN. The optional CHAPTER column should be used to list the relevant chapters in a book. The optional NOTES column can be used to clarify which part of the row the reference is for, such as a reference about the anatomical structures involved in the function rather than the interactions. Add more sets of reference columns if needed, making sure to include the ID column.",,,,,,,,,,,
Function/1,Function/1/LABEL,Function/1/ID,Function/2,Function/2/LABEL,Function/2/ID,Function/3,Function/3/LABEL,Function/3/ID,Function/4,Function/4/LABEL,Function/4/ID,Function/5,Function/5/LABEL,Function/5/ID,Function/6,Function/6/LABEL,Function/6/ID,Function/7,Function/7/LABEL,Function/7/ID,Function/8,Function/8/LABEL,Function/8/ID,Function/Notes,Process,EffectorScale,EffectorLocation,EffectorLocation/LABEL,EffectorLocation/ID,Effector,Effector/LABEL,Effector/ID,Signal,Effect,Behavior,Behavior X,Behavior Y,EffectParameters (quantitative values),Process,Process triple,Function,SignalScale,EffectScale,TimeScale,ClinicalMeasure/1,ClinicalMeasure/1/LABEL,ClinicalMeasure/1/ID,ClinicalMeasure/2,ClinicalMeasure/2/LABEL,ClinicalMeasure/2/ID,ClinicalMeasure/3,ClinicalMeasure/3/LABEL,ClinicalMeasure/3/ID,ClinicalMeasure/4,ClinicalMeasure/4/LABEL,ClinicalMeasure/4/ID,Interaction/1,Interaction/1/LABEL,Interaction/1/ID,Interaction/2,Interaction/2/LABEL,Interaction/2/ID,Interaction/3,Interaction/3/LABEL,Interaction/3/ID,Interaction/4,Interaction/4/LABEL,Interaction/4/ID,REF/1,REF/1/ID,REF/1/CHAPTER,REF/1/NOTES,REF/2,REF/2/ID,REF/2/CHAPTER,REF/2/NOTES,REF/3,REF/3/ID,REF/3/CHAPTER,REF/3/NOTES
respiratory system process,respiratory system process,GO:0003047,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Shunt physiology,,,,,,,,,,,,,,,,Venous blood bypasses ventilated alveoli:  Shunt equation for QS/QT,Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,does,X calculation,shunt,,,Venous blood bypasses ventilated alveoli, Shunt equation for QS/QT,Shunt physiology,,Intra-organ,Minutes,Arterial Oxygen Pressure,,,,,,,,,,,,O₂dissociation curve explains poor response,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-37,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003048,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,V̇/Q̇ ratio — core concept,,,,,,,,,,,,,,,,"Ratio sets unit gas composition:  Unit PO₂, PCO₂ determined by V̇A/Q̇",Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,does,X determination,alveolar gas,,mmHg (per gas),Ratio sets unit gas composition," Unit PO₂, PCO₂ determined by V̇A/Q̇",V̇/Q̇ ratio — core concept,,Intra-organ,Seconds,End-capillary gases,,,,,,,,,,,,O₂–CO₂ diagram mapping,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-38,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003049,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Regional V̇/Q̇ in upright lung,tripartite regional subdivision,GO:0007351,,,,,,,,,,,,,,Apex–base gradients:  Ventilation ↑ up lung (modestly),Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,increases,X formation,ventilation gradient,,L·min⁻¹·(distance)⁻¹,Apex–base gradients, Ventilation ↑ down lung (modestly),Regional V̇/Q̇ in upright lung,,Intra-organ,Seconds,Imaging,Imaging examination name,104934-5,,,,,,,,,,Gravity + compliance + hydrostatic,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-39,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003049,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Regional V̇/Q̇ in upright lung,tripartite regional subdivision,GO:0007351,,,,,,,,,,,,,,Apex–base gradients:  Perfusion ↑ down lung (more),Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,increases,X formation,perfusion gradient,,L·min⁻¹·(distance)⁻¹,Apex–base gradients, Perfusion ↑ down lung (more),Regional V̇/Q̇ in upright lung,,Intra-organ,Seconds,Imaging,Imaging examination name,104934-5,,,,,,,,,,Gravity + compliance + hydrostatic,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-39,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003050,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Impact of V̇/Q̇ inequality,,,,,,,,,,,,,,,,Depress overall oxygenation:  Blood weighted to low V̇/Q̇ areas (low PO₂),Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,decreases,X process,arterial oxygenation,,mmHg,Depress overall oxygenation, Blood weighted to low V̇/Q̇ areas (low PO₂),Impact of V̇/Q̇ inequality,,Intra-organ,Minutes–hours,A–a gradient,,,,,,,,,,,,Nonlinear Hb-O₂curve key,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-40,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003050,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Impact of V̇/Q̇ inequality,,,,,,,,,,,,,,,,Depress overall oxygenation:  High V̇/Q̇ units add little O₂ (flat Hb curve),Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory",lung vasculature,UBERON:0000102,,does,X process,high V̇A/O₂ contribution,,,Depress overall oxygenation, High V̇/Q̇ units add little O₂ (flat Hb curve),Impact of V̇/Q̇ inequality,,Sytemic,Minutes–hours,A–a gradient,,,,,,,,,,,,Nonlinear Hb-O₂curve key,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-40,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003050,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Impact of V̇/Q̇ inequality,,,,,,,,,,,,,,,,Depress overall oxygenation:  → A–a PO₂ difference ↑,Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory",lung vasculature,UBERON:0000102,,increases,X formation,A–a gradient,,mmHg,Depress overall oxygenation, → A–a PO₂ difference ↑,Impact of V̇/Q̇ inequality,,Sytemic,Minutes–hours,A–a gradient,,,,,,,,,,,,Nonlinear Hb-O₂curve key,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-40,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003051,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,CO₂ handling in V̇/Q̇ mismatch,,,,,,,,,,,,,,,,Why PaCO₂ often normal:  Pure V̇/Q̇ inequality reduces V̇CO₂,Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory",lung vasculature,UBERON:0000102,,decreases,X elimination,CO₂,,mL·min⁻¹,Why PaCO₂ often normal, Pure V̇/Q̇ inequality reduces V̇CO₂,CO₂ handling in V̇/Q̇ mismatch,,Sytemic,Minutes,Arterial Partial Pressure of Carbon Dioxide,,,Dead Space to Tidal Volume Ratio,,,,,,,,,CO₂ curve ~linear → easier to correct,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-41,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003051,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,CO₂ handling in V̇/Q̇ mismatch,,,,,,,,,,,,,,,,Why PaCO₂ often normal:  Chemoreflex ↑V̇A restores PaCO₂,Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory",lung vasculature,UBERON:0000102,,increases,X compensation,ventilation,,L·min⁻¹,Why PaCO₂ often normal, Chemoreflex ↑V̇A restores PaCO₂,CO₂ handling in V̇/Q̇ mismatch,,Sytemic,Minutes,Arterial Partial Pressure of Carbon Dioxide,,,Dead Space to Tidal Volume Ratio,,,,,,,,,CO₂ curve ~linear → easier to correct,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-41,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003051,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,CO₂ handling in V̇/Q̇ mismatch,,,,,,,,,,,,,,,,Why PaCO₂ often normal:  “Wasted ventilation” ↑ (physiologic dead space),Organ system,Lung,lung,UBERON:0002048,"Lung, circulatory",lung vasculature,UBERON:0000102,,increases,X formation,physiologic dead space,,mL,Why PaCO₂ often normal, “Wasted ventilation” ↑ (physiologic dead space),CO₂ handling in V̇/Q̇ mismatch,,Sytemic,Minutes,Arterial Partial Pressure of Carbon Dioxide,,,Dead Space to Tidal Volume Ratio,,,,,,,,,CO₂ curve ~linear → easier to correct,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-41,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003052,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Inert gas method (concept),gas vesicle,GO:0031411,,,,,,,,,,,,,,Measure V̇/Q̇ distributions:  Infuse multiple inert gases,Organ,Lung,lung,UBERON:0002048,Whole lung,lung,UBERON:0002048,,does,X infusion,inert gas,,mL·min⁻¹,Measure V̇/Q̇ distributions, Infuse multiple inert gases,Inert gas method (concept),,Intra-organ,Minutes–hours,MIGET patterns,,,,,,,,,,,,Research/advanced PFT,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-42,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003052,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Inert gas method (concept),gas vesicle,GO:0031411,,,,,,,,,,,,,,Measure V̇/Q̇ distributions:  Solve ventilation & flow vs V̇/Q̇ (log bins),Organ,Lung,lung,UBERON:0002048,Whole lung,lung,UBERON:0002048,,does,X distribution,V̇A/Q̇,,,Measure V̇/Q̇ distributions, Solve ventilation & flow vs V̇/Q̇ (log bins),Inert gas method (concept),,Intra-organ,Minutes–hours,MIGET patterns,,,,,,,,,,,,Research/advanced PFT,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-42,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003052,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,Inert gas method (concept),gas vesicle,GO:0031411,,,,,,,,,,,,,,"Measure V̇/Q̇ distributions:  Normal: tight around ≈1, no shunt",Organ,Lung,lung,UBERON:0002048,Whole lung,lung,UBERON:0002048,,does,X distribution,V̇A/Q̇,,,Measure V̇/Q̇ distributions," Normal: tight around ≈1, no shunt",Inert gas method (concept),,Intra-organ,Minutes–hours,MIGET patterns,,,,,,,,,,,,Research/advanced PFT,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-42,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003053,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,A–a PO₂ difference,,,,,,,,,,,,,,,,Practical index of mismatch:  PAO₂ via alveolar gas eqn (use PaCO₂),Organ,Lung,lung,UBERON:0002048,Whole lung,lung,UBERON:0002048,,does,X calculation,alveolar oxygen,,mmHg,Practical index of mismatch, PAO₂ via alveolar gas eqn (use PaCO₂),A–a PO₂ difference,,Intra-organ,Minutes,A–a gradient trends,,,,,,,,,,,,Requires known FiO₂& R,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-43,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003053,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,A–a PO₂ difference,,,,,,,,,,,,,,,,Practical index of mismatch:  A–a = PAO₂ − PaO₂,Organ,Lung,lung,UBERON:0002048,Whole lung,lung,UBERON:0002048,,does,X equivalence to Y,alveolar–arterial gradient,alveolar O₂ − arterial O₂,mmHg,Practical index of mismatch, A–a = PAO₂ − PaO₂,A–a PO₂ difference,,Intra-organ,Minutes,A–a gradient trends,,,,,,,,,,,,Requires known FiO₂& R,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-43,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003053,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,A–a PO₂ difference,,,,,,,,,,,,,,,,Practical index of mismatch:  Normal ≈ 10–15 mmHg (↑ with age),Organ,Lung,lung,UBERON:0002048,Whole lung,lung,UBERON:0002048,,does,X reference,A–a gradient,,mmHg,Practical index of mismatch, Normal ≈ 10–15 mmHg (↑ with age),A–a PO₂ difference,,Intra-organ,Minutes,A–a gradient trends,,,,,,,,,,,,Requires known FiO₂& R,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-43,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003054,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,O₂ response as diagnostic,"oxidoreductase activity, reducing C-O-C group as acceptor",GO:0120546,,,,,,,,,,,,,,FiO₂ challenge:  100% O₂ ↑ PAO₂ greatly,Tissue,Lung,lung,UBERON:0002048,Alveoli,alveolus of lung,UBERON:0002299,,increases,X process,alveolar oxygen,,mmHg,FiO₂ challenge, 100% O₂ ↑ PAO₂ greatly,O₂ response as diagnostic,,Segmental (intra-organ),Minutes,Arterial Oxygen Pressure,,,,,,,,,,,,Hb curve near-flat at high PO_,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-44,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003054,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,O₂ response as diagnostic,"oxidoreductase activity, reducing C-O-C group as acceptor",GO:0120546,,,,,,,,,,,,,,FiO₂ challenge:  V̇/Q̇ mismatch: PaO₂ rises substantially,Tissue,Lung,lung,UBERON:0002048,Alveoli,alveolus of lung,UBERON:0002299,,increases,X improvement,oxygen,,mmHg,FiO₂ challenge, V̇/Q̇ mismatch: PaO₂ rises substantially,O₂ response as diagnostic,,Segmental (intra-organ),Minutes,Arterial Oxygen Pressure,,,,,,,,,,,,Hb curve near-flat at high PO_,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-44,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003054,Ventilation–Perfusion Relationships,regulation of lung blood pressure,GO:0014916,V/Q matching,,,O₂ response as diagnostic,"oxidoreductase activity, reducing C-O-C group as acceptor",GO:0120546,,,,,,,,,,,,,,FiO₂ challenge:  Shunt: PaO₂ does not rise ,Tissue,Lung,lung,UBERON:0002048,Alveoli,alveolus of lung,UBERON:0002299,,decreases,X improvement,oxygen,,mmHg,FiO₂ challenge, Shunt: PaO₂ rises inadequately,O₂ response as diagnostic,,Segmental (intra-organ),Minutes,Arterial Oxygen Pressure,,,,,,,,,,,,Hb curve near-flat at high PO_,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-44,5,,,,,,,,,
respiratory system process,respiratory system process,GO:0003055,Gas Transport by the Blood,gas transport,GO:0015669,Oxygen carriage,oxygen transport,GO:0015671,O₂ carriage in solution,O-acetyltransferase activity,GO:0016413,,,,,,,,,,,,,,Henry’s law (dissolved O₂):  [O₂]_diss = 0.003 ml·dl⁻¹·mmHg⁻¹ × PO₂,Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,does,X equivalence to Y,oxygen dissolution,oxygen partial pressure × solubility coefficient,mL·O₂·dL⁻¹,Henry’s law (dissolved O₂), [O₂]_diss = 0.003 ml·dl⁻¹·mmHg⁻¹ × PO₂,O₂ carriage in solution,,Intra-organ,Seconds,Dissolved O₂(calc),,,,,,,,,,,,Sets baseline,,, minor fraction,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-45,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003055,Gas Transport by the Blood,gas transport,GO:0015669,Oxygen carriage,oxygen transport,GO:0015671,O₂ carriage in solution,O-acetyltransferase activity,GO:0016413,,,,,,,,,,,,,,Henry’s law (dissolved O₂):  At PaO₂≈100 → 0.3 ml O₂/dl,Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,does,X quantification,dissolved oxygen,,mL·O₂·dL⁻¹,Henry’s law (dissolved O₂), At PaO₂≈100 → 0.3 ml O₂/dl,O₂ carriage in solution,,Intra-organ,Seconds,Dissolved O₂(calc),,,,,,,,,,,,Sets baseline,,, minor fraction,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-45,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003055,Gas Transport by the Blood,gas transport,GO:0015669,Oxygen carriage,oxygen transport,GO:0015671,O₂ carriage in solution,O-acetyltransferase activity,GO:0016413,,,,,,,,,,,,,,Henry’s law (dissolved O₂):  Insufficient at high cardiac output,Organ,Lung,lung,UBERON:0002048,Alveolus–capillary,alveolus of lung,UBERON:0002299,,decreases,X adequacy,dissolved oxygen,,,Henry’s law (dissolved O₂), Insufficient at high cardiac output,O₂ carriage in solution,,Intra-organ,Seconds,Dissolved O₂(calc),,,,,,,,,,,,Sets baseline,,, minor fraction,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-45,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003056,Gas Transport by the Blood,gas transport,GO:0015669,Oxygen carriage,oxygen transport,GO:0015671,O₂ carriage on Hb,,,,,,,,,,,,,,,,Hb binding & capacity:  Hb binds O₂ at 4 heme sites,Cell,Lung,lung,UBERON:0002048,Red blood cell,Red blood cell,??,,does,X binding,oxygen binding,,mL·O₂·dL⁻¹,Hb binding & capacity, Hb binds O₂ at 4 heme sites,O₂ carriage on Hb,,Cellular,Seconds,Arterial Oxygen Content,,,,,,,,,,,,Dominant transport form,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-46,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003056,Gas Transport by the Blood,gas transport,GO:0015669,Oxygen carriage,oxygen transport,GO:0015671,O₂ carriage on Hb,,,,,,,,,,,,,,,,Hb binding & capacity:  O₂ capacity ≈ 1.39 ml/g × [Hb] (≈20.8 ml/dl at 15 g/dl),Cell,Lung,lung,UBERON:0002048,Red blood cell,Red blood cell,??,,does,X calculation,oxygen capacity,,mL·O₂·dL⁻¹,Hb binding & capacity, O₂ capacity ≈ 1.39 ml/g × [Hb] (≈20.8 ml/dl at 15 g/dl),O₂ carriage on Hb,,Cellular,Seconds,Arterial Oxygen Content,,,,,,,,,,,,Dominant transport form,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-46,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003056,Gas Transport by the Blood,gas transport,GO:0015669,Oxygen carriage,oxygen transport,GO:0015671,O₂ carriage on Hb,,,,,,,,,,,,,,,,Hb binding & capacity:  Content = 1.39×Hb×Sat + 0.003×PO₂,Cell,Lung,lung,UBERON:0002048,Red blood cell,Red blood cell,??,,does,X equivalence to Y,oxygen content,bound + dissolved oxygen,mL·O₂·dL⁻¹,Hb binding & capacity, Content = 1.39×Hb×Sat + 0.003×PO₂,O₂ carriage on Hb,,Cellular,Seconds,Arterial Oxygen Content,,,,,,,,,,,,Dominant transport form,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-46,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003057,Gas Transport by the Blood,gas transport,GO:0015669,Oxygen carriage,oxygen transport,GO:0015671,O₂ dissociation curve,,,,,,,,,,,,,,,,S-shaped curve & anchors:  R-state vs T-state transitions,Cell,Lung,lung,UBERON:0002048,Red blood cell,primitive red blood cell,CL:0002355,,does,X transition,hemoglobin allosteric ,,,S-shaped curve & anchors, R-state vs T-state transitions,O₂ dissociation curve,,Cellular,Seconds,Arterial Oxygen Saturation,,, Oxygen Tension at 50% Hemoglobin Saturation,,,,,,,,,Facilitates loading & unloading,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-47,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003057,Gas Transport by the Blood,gas transport,GO:0015669,Oxygen carriage,oxygen transport,GO:0015671,O₂ dissociation curve,,,,,,,,,,,,,,,,S-shaped curve & anchors:  Anchor points: PO₂ 100→Sat≈97%; 40→75%; P50≈27→50%,Cell,Lung,lung,UBERON:0002048,Red blood cell,primitive red blood cell,CL:0002355,,does,X definition,saturation anchor,,%,S-shaped curve & anchors, Anchor points: PO₂ 100→Sat≈97%; 40→75%; P50≈27→50%,O₂ dissociation curve,,Cellular,Seconds,Arterial Oxygen Saturation,,, Oxygen Tension at 50% Hemoglobin Saturation,,,,,,,,,Facilitates loading & unloading,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-47,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003057,Gas Transport by the Blood,gas transport,GO:0015669,Oxygen carriage,oxygen transport,GO:0015671,O₂ dissociation curve,,,,,,,,,,,,,,,,"S-shaped curve & anchors:  Flat top, steep limb",Cell,Lung,lung,UBERON:0002048,Red blood cell,primitive red blood cell,CL:0002355,,does,X process,O₂ dissociation curve,,,S-shaped curve & anchors," Flat top, steep limb",O₂ dissociation curve,,Cellular,Seconds,Arterial Oxygen Saturation,,, Oxygen Tension at 50% Hemoglobin Saturation,,,,,,,,,Facilitates loading & unloading,,,,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-47,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003058,Gas Transport by the Blood,gas transport,GO:0015669,Oxygen carriage,oxygen transport,GO:0015671,Curve shifts (Bohr/temperature/DPG),temperature homeostasis,GO:0001659,,,,,,,,,,,,,,"Affinity modulation:  ↑H⁺/↑PCO₂/↑Temp/↑2,3-DPG → right shift (↓affinity)",Cell,Lung,lung,UBERON:0002048,Red blood cell,primitive red blood cell,CL:0002355,,decreases,X affinity,hemoglobin affinity,,mmHg,Affinity modulation," ↑H⁺/↑PCO₂/↑Temp/↑2,3-DPG → right shift (↓affinity)",Curve shifts (Bohr/temperature/DPG),,Cellular,Seconds–hours,Oxygen Tension at 50% Hemoglobin Saturation,,,Oxygen,Oxygen saturation in Blood,20564-1,,,,,,,Bohr effect,,, DPG adapts to chronic hypoxia,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-48,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003058,Gas Transport by the Blood,gas transport,GO:0015669,Oxygen carriage,oxygen transport,GO:0015671,Curve shifts (Bohr/temperature/DPG),temperature homeostasis,GO:0001659,,,,,,,,,,,,,,Affinity modulation:  Opposites → left shift (↑affinity),Cell,Lung,lung,UBERON:0002048,Red blood cell,primitive red blood cell,CL:0002355,,increases,X affinity,hemoglobin affinity,,mmHg,Affinity modulation, Opposites → left shift (↑affinity),Curve shifts (Bohr/temperature/DPG),,Cellular,Seconds–hours,Oxygen Tension at 50% Hemoglobin Saturation,,,Oxygen,Oxygen saturation in Blood,20564-1,,,,,,,Bohr effect,,, DPG adapts to chronic hypoxia,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-48,6,,,,,,,,,
respiratory system process,respiratory system process,GO:0003058,Gas Transport by the Blood,gas transport,GO:0015669,Oxygen carriage,oxygen transport,GO:0015671,Curve shifts (Bohr/temperature/DPG),temperature homeostasis,GO:0001659,,,,,,,,,,,,,,Affinity modulation:  P50 tracks position,Cell,Lung,lung,UBERON:0002048,Red blood cell,primitive red blood cell,CL:0002355,,does,X relation,P50 shift,,mmHg,Affinity modulation, P50 tracks position,Curve shifts (Bohr/temperature/DPG),,Cellular,Seconds–hours,Oxygen Tension at 50% Hemoglobin Saturation,,,Oxygen,Oxygen saturation in Blood,20564-1,,,,,,,Bohr effect,,, DPG adapts to chronic hypoxia,,,,,,,,,West’s Respiratory Physiology,978-1-9751-3918-48,6,,,,,,,,,
